127.0.0.1 - - [10/Jan/2017:09:37:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:42 +0530] "GET /frontendPro/ HTTP/1.1" 200 5605
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:44 +0530] "GET /frontendPro/images/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:45 +0530] "GET /frontendPro/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:45 +0530] "GET /frontendPro/_user/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:45 +0530] "GET /frontendPro/_user/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:45 +0530] "GET /frontendPro/_friend/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:46 +0530] "GET /frontendPro/_blog/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:46 +0530] "GET /frontendPro/_blog/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:46 +0530] "GET /frontendPro/_blog/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:46 +0530] "GET /frontendPro/_chat/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:46 +0530] "GET /frontendPro/_chat/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:46 +0530] "GET /frontendPro/resources/js/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:46 +0530] "GET /frontendPro/resources/js/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:53 +0530] "GET /frontendPro/_user/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:54 +0530] "GET /backendPro/getUsers HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:37:54 +0530] "GET /backendPro/getUsers HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:39:00 +0530] "GET /frontendPro/_user/register.html HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:39:05 +0530] "GET /frontendPro/_user/listOfUsers.html HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:45:20 +0530] "GET /frontendPro/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:45:23 +0530] "GET /frontendPro/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:45:27 +0530] "GET /frontendPro/images/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:45:33 +0530] "GET /frontendPro/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:45:33 +0530] "GET /frontendPro/_user/usercontroller.js HTTP/1.1" 304 -
