0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:36:19 +0530] "GET /backendPro/blog/list HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:36:27 +0530] "GET /frontendPro/_blog/newPost.html HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:36:27 +0530] "GET /backendPro/blog/list HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:39:07 +0530] "GET /frontendPro/images/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:39:09 +0530] "GET /backendPro/getUsers HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:39:09 +0530] "GET /backendPro/getUsers HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:39:25 +0530] "POST /backendPro/login HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:39:33 +0530] "GET /backendPro/getAllFriends HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:39:33 +0530] "GET /backendPro/pendingRequest HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:43:17 +0530] "GET /frontendPro/_user/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:43:17 +0530] "GET /frontendPro/images/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:43:19 +0530] "GET /backendPro/getUsers HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:43:21 +0530] "GET /backendPro/getUsers HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:43:51 +0530] "POST /backendPro/login HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:44:01 +0530] "GET /backendPro/getAllFriends HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:44:02 +0530] "GET /backendPro/pendingRequest HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:44:11 +0530] "GET /frontendPro/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:44:11 +0530] "GET /frontendPro/images/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:44:15 +0530] "GET /backendPro/pendingRequest HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [11/Jan/2017:08:44:15 +0530] "GET /backendPro/getAllFriends HTTP/1.1" 200 68
